:displayName Deutsch

Dog.prefab
appearance[i].name	Bad Bitty	Böser Beißi	30		1502599448:sdlc/Dog.prefab
Perk nuke Tiger battery 8.prefab
description	A single-use battery that shoots 8 missiles.	Eine einmalig verwendbare Batterie, die 8 Bomben abschießt.	250		850100445:sdlc/Perk nuke Tiger battery 8.prefab
randomizerMenuStrings[i]	+1 single-use missile battery	+1 Wegwerf-Raketen-Batterie	30		850100445:sdlc/Perk nuke Tiger battery 8.prefab

Perk nuke Tiger dual EMP.prefab
displayName	Tiger EMP double nuke	Tiger EMP-Doppel-Bombe	40		655868932:sdlc/Perk nuke Tiger dual EMP.prefab
description	A pair of armored EMP nukes, launched simultaneously.	Ein Paar gepanzerte EMP-Bomben, die gleichzeitig abgefeuert werden.	250		655868932:sdlc/Perk nuke Tiger dual EMP.prefab
randomizerMenuStrings[i]	+1 dual capital missile	+1 Doppel-Bombe	30		655868932:sdlc/Perk nuke Tiger dual EMP.prefab

Perk nuke Tiger intruderbot nuke.prefab
description	This intruderbot nuke releases an aggressive tiger spider drone on impact.	Diese Eindringling-Bombe setzt beim Aufprall eine aggressive Tiger-Spinnen-Drohne frei.	250		1273038811:sdlc/Perk nuke Tiger intruderbot nuke.prefab
randomizerMenuStrings[i]	+1 intruderbot missile	+1 Eindringling-Bombe	30		1273038811:sdlc/Perk nuke Tiger intruderbot nuke.prefab

Perk nuke Tiger sharpnel.prefab
displayName	Tiger shrapnel nuke	Tiger Schrapnell-Bombe	40		1494259635:sdlc/Perk nuke Tiger sharpnel.prefab; 1258798551:sdlc/Tiger sharpnel nuke.prefab
description	An experimental capital missile that releases nanoshrapnel over a wide area.	Eine experimentelle Bombe, die Nanosplitter über ein weites Gebiet freisetzt.	250		1494259635:sdlc/Perk nuke Tiger sharpnel.prefab

Perk pet DLC combat rabbit.prefab
displayName	Combat Rabbit (pet)	Kampfkaninchen (Haustier)	40		2073301424:sdlc/Perk pet DLC combat rabbit.prefab
description	We may buy this ancient combat organism from a biotech junk market. It is genetically modified for superior speed and strength, and digitally trained to attack enemies in close combat.	Diesen uralten Kampforganismus können wir auf einem Biotech-Schrottmarkt kaufen. Er ist genetisch auf überragende Geschwindigkeit und Stärke modifiziert und digital darauf trainiert, Feinde im Nahkampf anzugreifen.	250		2073301424:sdlc/Perk pet DLC combat rabbit.prefab
randomizerMenuStrings[i]	+1 pet (combat rabbit)	+1 Haustier (Kampfkaninchen)	30		2073301424:sdlc/Perk pet DLC combat rabbit.prefab

Perk pet DLC fire tortoise.prefab
displayName	Fire Tortoise (pet)	Feuerschildkröte (Haustier)	40		507217483:sdlc/Perk pet DLC fire tortoise.prefab
description	The creature is very intelligent and can tend gardens. It can also naturally breathe fire at enemies.	Die Kreatur ist sehr intelligent und kann Gärten pflegen. Sie kann außerdem auf natürliche Weise Feuer auf Feinde spucken.	250		507217483:sdlc/Perk pet DLC fire tortoise.prefab
randomizerMenuStrings[i]	+1 pet (fire tortoise)	+1 Haustier (Feuerschildkröte)	30		507217483:sdlc/Perk pet DLC fire tortoise.prefab

Perk pet DLC shocker lizard.prefab
displayName	Shocker lizard (pet)	Schockechse (Haustier)	40		910502010:sdlc/Perk pet DLC shocker lizard.prefab
description	A live gift from an old friend of our AI. The creature is quite intelligent and can shoot energy rays from its eyes.	Ein lebendes Geschenk von einem alten Freund unserer KI. Die Kreatur ist ziemlich intelligent und kann Energiestrahlen aus ihren Augen schießen.	250		910502010:sdlc/Perk pet DLC shocker lizard.prefab
randomizerMenuStrings[i]	+1 pet (shocker lizard)	+1 Haustier (Schockechse)	30		910502010:sdlc/Perk pet DLC shocker lizard.prefab

Perk pet DLC warp floater.prefab
displayName	Warp Floater (pet)	Warptier (Haustier)	40		1491901717:sdlc/Perk pet DLC warp floater.prefab
description	This warp creature is an extreme rarity due to being able to effectively communicate with non-warp beings. It is quite intelligent and likes to stare into human eyes.	Diese Warp-Kreatur ist eine extreme Rarität, da sie in der Lage ist, effektiv mit Nicht-Warp-Wesen zu kommunizieren. Es ist ziemlich intelligent und starrt gerne in menschliche Augen.	250		1491901717:sdlc/Perk pet DLC warp floater.prefab
randomizerMenuStrings[i]	+1 pet (warp animal)	+1 Haustier (Warptier)	30		1491901717:sdlc/Perk pet DLC warp floater.prefab

Perk pet Tiger dog drone.prefab
description	This robot was built to provide assistance in construction and maintenance operations. Modded software allows unlimited aggression towards hostiles.	Dieser Roboter wurde gebaut, um bei Bau- und Wartungsarbeiten zu helfen. Die modifizierte Software erlaubt unbegrenzte Aggression gegenüber Feinden.	250		1137508603:sdlc/Perk pet Tiger dog drone.prefab
randomizerMenuStrings[i]	+1 drone (repair drone)	+1 Drone (Reparaturdrone)	30		1137508603:sdlc/Perk pet Tiger dog drone.prefab

missile tigerfish mini n u k e.prefab
displayName	Tiger mininuke	Tiger Mini-Bombe	35		1999895955:sdlc/missile tigerfish mini n u k e.prefab; 1896841949:sdlc/Tiger 8x nuke projectile.prefab

Tiger 8x nuke projectile.prefab

Tiger EMP nuke.prefab

Tiger intruderbot nuke.prefab
displayName	Tigerbot nuke	Tigerbot Bombe	35		310418566:sdlc/Tiger intruderbot nuke.prefab

Tiger Monolith nuke.prefab
displayName	Tiger Monolith nuke	Tiger Monolith-Bombe	35		1865480560:sdlc/Tiger Monolith nuke.prefab

Tiger sharpnel nuke.prefab

BattleTiger.prefab
description	Battle Tiger is is the military variant of the popular Tigerfish series. It was designed for long-range transport of VIP personnel in hostile space and is equipped with explosives combinator. It comes with intruderbot nukes that release armed drones inside enemy ships.	Battle Tiger ist die militärische Variante der beliebten Tigerfisch-Serie. Er wurde für den Langstreckentransport von VIP-Personal im feindlichen Raum konzipiert und ist mit einem Sprengstoff-Kombinator ausgestattet. Er verfügt über Eindringling-Bomben, die bewaffnete Drohnen im Inneren feindlicher Schiffe freisetzen.	400		1452660923:sdlc/BattleTiger.prefab

Engiship.prefab
description	This Mobile Maintenance Rig starts in a bad shape due to years of rough use, but holds promise for those patient enough to upgrade its weaponry and defences. It starts with poor technology, but large crew, and containers full of raw resources.	Diese mobile Wartungsanlage beginnt in einem schlechten Zustand aufgrund jahrelanger rauer Nutzung, ist aber vielversprechend für diejenigen, die geduldig genug sind, seine Waffen und Verteidigungsanlagen aufzurüsten. Es startet mit schlechter Technologie, aber großer Besatzung und Behältern voller Rohstoffe.	400		853503871:sdlc/Engiship.prefab

WarBug.prefab
description	This exotic military vessel was built by the Kha-Wat, a distant Insectoid civilization known for their love of artistic chirping. The ship is built to employ the hailstorm tactic, overwhelming enemy ships with a hail of synchronized projectiles & missiles. This requires management of ammo, and regularly producing or buying extra explosives or other materials necessary for projectiles. Comes with nukes, and crew of various insectoids.	Dieses exotische Militärschiff wurde von den Kha-Wat gebaut, einer fernen Insektoiden-Zivilisation, die für ihre Vorliebe für kunstvolles Gezwitscher bekannt ist. Das Schiff wurde gebaut, um die Hagelsturm-Taktik anzuwenden, bei der feindliche Schiffe mit einem Hagel von synchronisierten Projektilen & Raketen überwältigt werden. Dies erfordert die Verwaltung der Munition und die regelmäßige Herstellung oder den Kauf von zusätzlichen Sprengstoffen oder anderen Materialien, die für die Geschosse benötigt werden. Wird mit Atomwaffen und einer Besatzung aus verschiedenen Insektoiden geliefert.	400		42388666:sdlc/WarBug.prefab
