:displayName Deutsch

'1 Pi Capitaalo planet, want exotics.prefab
'name2	'((Inhabited planet))	'((Bewohnter Planet))	25		'383958601:dlc2/1 Pi Capitaalo planet, want exotics.prefab; 180401831:dlc2/2 Pi Phobian planet 2, wasteland.prefab; 310536612:dlc2/1 Pi Capitaalo planet, want synth.prefab; 416434856:dlc2/1 Pi Capitaalo planet, want organics.prefab; 685940565:dlc2/2 Pi Phobian planet 1, want credits.prefab; 1615424338:dlc2/1 Pi Capitaalo planet, want explosives.prefab; 1852234114:dlc2/1 Pi Capitaalo planet, want organics 2.prefab; 1930524378:dlc2/2 Pi Phobian planet 3, give weapon.prefab
'choiceText	'Trade [-100 organics for 200 metals]	'Tausch [+200 Metalle, -100 Organik]	100		'1593560708:dlc2/1 Pi Capitaalo planet, want organics.prefab

'1 Pi Capitaalo planet, want synth.prefab
'title	'Capitaalo Colony	'Capitaalo-Kolonie	35		'1487662464:dlc2/1 Pi Capitaalo planet, want synth.prefab
'text	'We've found and contacted a Capitaalo colony. They are a fragmented, quasi-primitive civilization, obsessed with their ancient currency system and its organizing principles. The colony leaders propose a trade, they want some of our advanced materials in exchange for the munitions they produce.	'Wir haben eine Capitaalo-Kolonie gefunden und kontaktiert. Sie sind eine zersplitterte, quasi-primitive Zivilisation, besessen von ihrem alten Währungssystem und dessen Organisationsprinzipien. Die Anführer der Kolonie schlagen einen Handel vor, sie wollen einige unserer fortschrittlichen Materialien im Austausch für die Munition, die sie produzieren.	400		'1487662464:dlc2/1 Pi Capitaalo planet, want synth.prefab
'choiceText	'Trade [-100 synthetics for 200 explosives]	'Handel [+200 Sprengstoffe, -100 Kunststoffe]	100		'1487662464:dlc2/1 Pi Capitaalo planet, want synth.prefab
'newName3	'Capitaalo colony	'Capitaalo-Kolonie	25		'1487662464:dlc2/1 Pi Capitaalo planet, want synth.prefab
'title	'Delays and issues	'Verzögerungen und Probleme	35		'805075097:dlc2/1 Pi Capitaalo planet, want synth.prefab
'text2	'Delivery of the explosives was delayed. When the explosives finally arrived, some turned out to be the wrong type, not suitable for our purposes. Ultimately, the Capitaalo negotiator provided extra organics to make up for the issues.	'Die Lieferung des Sprengstoffs verzögerte sich. Als der Sprengstoff schließlich eintraf, stellte sich heraus, dass einige vom falschen Typ waren und für unsere Zwecke nicht geeignet waren. Letztendlich stellte der Capitaalo-Verhandlungsführer zusätzliche Organik zur Verfügung, um die Probleme auszugleichen.	400		'805075097:dlc2/1 Pi Capitaalo planet, want synth.prefab

'2 Pi Phobian planet 1, want credits.prefab
'text2	'The Phobians delivered tons and tons of explosives from grenades to primitive capital missiles. Recycling them yielded some extra materials.	'Die Phobier lieferten tonnenweise Sprengstoffe, von Granaten bis zu primitiven Großraketen. Deren Wiederverwertung erbrachte einige zusätzliche Materialien.	400		'1180479051:dlc2/2 Pi Phobian planet 1, want credits.prefab
'title	'Phobian business representatives	'Phobische Wirtschaftsvertreter	35		'1863066417:dlc2/2 Pi Phobian planet 1, want credits.prefab; 960166582:dlc2/2 Pi Phobian planet 3, give weapon.prefab
'text	'"We are willing to bypass the Phobian laws regarding your illegal presence, to get some intergalactic credits. We can pay you in explosives. Perfectly normal, yes?"	'"Wir sind bereit, die phobischen Gesetze bezüglich Ihrer illegalen Anwesenheit zu umgehen, um einige intergalaktische Kredite zu erhalten. Wir können Sie mit Sprengstoffen bezahlen. Völlig normal, ja?"	400		'1863066417:dlc2/2 Pi Phobian planet 1, want credits.prefab
'choiceText	'Trade [get 140 explosives for -100 credits]	'Handel [+140 Sprengstoffe, -100 Kredite]	100		'1863066417:dlc2/2 Pi Phobian planet 1, want credits.prefab
'newName3	'Phobian independent colony	'Phobische unabhängige Kolonie	25		'1863066417:dlc2/2 Pi Phobian planet 1, want credits.prefab; 180401831:dlc2/2 Pi Phobian planet 2, wasteland.prefab; 960166582:dlc2/2 Pi Phobian planet 3, give weapon.prefab; 1357527683:dlc2/2 Pi Phobian planet 2, wasteland.prefab
'title	'Independent Phobian colony	'Unabhängige phobische Kolonie	35		'95437423:dlc2/2 Pi Phobian planet 1, want credits.prefab; 1340021236:dlc2/2 Pi Phobian planet 3, give weapon.prefab
'text	'"Attention, traveller! Your presence is not allowed due to the cultural danger aliens like you present, but trade is still possible remotely. The local business leaders will contanct you shortly."	'"Achtung, Reisender! Ihre Anwesenheit ist aufgrund der kulturellen Gefahr, die von Außerirdischen wie Ihnen ausgeht, nicht erlaubt, aber Handel ist aus der Ferne noch möglich. Die hiesigen Wirtschaftsführer werden sich in Kürze mit Ihnen in Verbindung setzen."	600		'95437423:dlc2/2 Pi Phobian planet 1, want credits.prefab; 1340021236:dlc2/2 Pi Phobian planet 3, give weapon.prefab

'2 Pi Phobian planet 2, wasteland.prefab
'text2	'There is no orbital defence. The entire surface of the planet is scarred and polluted by fairly recent chemical warfare, it seems all the larger settlements have been destroyed, and the planet is still heavily militarized, waging smaller wars here and there. We've decided to move on.	'Es gibt keine orbitale Verteidigung. Die gesamte Oberfläche des Planeten ist vernarbt und verschmutzt durch einen relativ jungen chemischen Krieg, es scheint, dass alle größeren Siedlungen zerstört wurden, und der Planet ist immer noch stark militarisiert, wobei hier und da kleinere Kriege geführt werden. Wir haben beschlossen, weiterzuziehen.	400		'674940317:dlc2/2 Pi Phobian planet 2, wasteland.prefab
'reasonToDisplay	'scouting operation finished	'Auskundschaftung beendet	30		'dlc2/2 Pi Phobian planet 2, wasteland.prefab; dlc2/2 Pi Phobian planet 2, wasteland.prefab
'text	'"Attention, space traveller! The Phobian Empire does not want foreigners snooping around their planets, and our local Colony leaders support this decision. Go away or be destroyed by powerful orbital defences"	'"Achtung, Raumfahrer! Das phobische Imperium möchte nicht, dass Fremde auf seinem Planeten herumschnüffeln, und unsere lokalen Kolonieführer unterstützen diese Entscheidung. Verschwinden Sie oder werden Sie von starken orbitalen Verteidigungsanlagen zerstört."	400		'1357527683:dlc2/2 Pi Phobian planet 2, wasteland.prefab
'choiceText	'Print an atmospheric bot to snoop around [-30 synthetics]	'Drucke einen atmosphärischen Bot zum Herumschnüffeln [-30 Kunststoffe]	100		'1357527683:dlc2/2 Pi Phobian planet 2, wasteland.prefab
'text2	'There is no orbital defence and we recover materials used in the drone. The entire surface of the planet is scarred by fairly recent nuclear warfare, with larger settlements destroyed, and a few smaller wars between survivors here and there. We've decided to move on.	'Es gibt keine orbitale Verteidigung und wir bergen die Materialien, die in der Drohne verwendet wurden. Die gesamte Oberfläche des Planeten ist durch einen relativ jungen Atomkrieg vernarbt, größere Siedlungen wurden zerstört, und hier und da gibt es ein paar kleinere Kriege zwischen Überlebenden. Wir haben beschlossen, weiterzuziehen.	400		'674940316:dlc2/2 Pi Phobian planet 2, wasteland.prefab

'2 Pi Phobian planet 3, give weapon.prefab
'text2	'The weapon is delivered as promised.	'Die Waffe wird wie versprochen geliefert.	400		'277579216:dlc2/2 Pi Phobian planet 3, give weapon.prefab
'text	'"We are willing to bypass the Imperial laws regarding your illegal presence, to get some of those exotics everyone keeps talking about. We offer a prototype plasma weapon, one you cannot buy from anywhere but us."	'"Wir sind bereit, die imperialen Gesetze bezüglich Ihrer illegalen Anwesenheit zu umgehen, um einige dieser Exoten zu bekommen, von denen jeder ständig spricht. Wir bieten den Prototyp einer Plasmawaffe, die Sie nur bei uns kaufen können."	400		'960166582:dlc2/2 Pi Phobian planet 3, give weapon.prefab
'choiceText	'Trade [get a weapon for -5 exotics]	'Tausch [+1 Waffe, -5 Exoten]	100		'960166582:dlc2/2 Pi Phobian planet 3, give weapon.prefab

'Level 1b exit, capitaalo.prefab
'text	'The Capitaalo have acquired Rat Empire technology and are now "taxing" passing ships. A lot has changed while you were in cryosleep, Captain... we've been cut off from Intergalactic news for five years.	'Die Capitaalo haben die Technologie des Rattenimperiums erworben und "besteuern" nun vorbeifliegende Schiffe. Es hat sich viel verändert, während Sie im Kryoschlaf waren, Kapitän... wir waren fünf Jahre lang von intergalaktischen Nachrichten abgeschnitten.	600		'432475790:dlc2/Level 1b exit, capitaalo.prefab
'title	'Capitaalo Gate Guard	'Capitaalo Torwache	35		'133430452:dlc2/Level 1b exit, capitaalo.prefab
'text	'You've reached the Rat Empire long-range warpgate. We -the Capitaalo- have a contract to guard the gate from the criminally poor. You may pass by paying the standard fee. There's also another long-range warpgate in this sector, but its guarded by Rat officials, who always charge extra.	'Sie haben das Langstrecken-Warptor des Rattenimperiums erreicht. Wir - die Capitaalo - haben einen Vertrag, das Tor vor kriminellen Armen zu bewachen. Sie können es passieren, indem Sie die Standardgebühr bezahlen. In diesem Sektor gibt es noch ein weiteres Fernkriegstor, das aber von Rattenbeamten bewacht wird, die immer einen Aufpreis verlangen.	400		'133430452:dlc2/Level 1b exit, capitaalo.prefab
'choiceText	'Pay the fee, travel to next sector [-200 credits]	'Bezahlen Sie die Gebühr, reisen Sie zum nächsten Sektor [-200 Kredite].	100		'133430452:dlc2/Level 1b exit, capitaalo.prefab
'choiceText	'We cannot pay, yet we must pass [ready for battle]	'Wir können nicht zahlen, aber wir müssen passieren [bereit zum Kampf]	100		'133430452:dlc2/Level 1b exit, capitaalo.prefab
'text2	'"Go through now."	'"Gehen Sie jetzt durch."	400		'463039704:dlc2/Level 1b exit, capitaalo.prefab
'reasonToDisplay	'"gate fee"	'Torgebühr	30		'dlc2/Level 1b exit, capitaalo.prefab
'text2	'The Capitaalo chief official was happy to receive exotics instead of credits.	'Der Capitaalo-Hauptbeamte war glücklich, Exoten statt Kredite zu erhalten.	400		'200304835:dlc2/Level 1b exit, capitaalo.prefab

'Level 2b exit, Phobians.prefab
'text	'This gate is sealed by the Phobian Authority. It should be never used, as we don't know for sure what could happen if anyone goes through. Perhaps if anybody goes in, horrible monsters will come out. You may not pass.	'Dieses Tor ist von der phobischen Behörde versiegelt. Es sollte niemals benutzt werden, da wir nicht genau wissen, was passieren könnte, wenn jemand hindurchgeht. Wenn jemand hineingeht, kommen vielleicht furchtbare Monster heraus. Ihr dürft nicht passieren.	400		'2130453199:dlc2/Level 2b exit, Phobians.prefab
'choiceText	'We have to pass [Prepare for battle]	'Wir müssen passieren [Vorbereitung auf den Kampf]	100		'2130453199:dlc2/Level 2b exit, Phobians.prefab
'choiceText	'Leave the area	'Verlassen Sie das Gebiet	100		'2130453199:dlc2/Level 2b exit, Phobians.prefab
'text	'I'm sorry for the poor Phobians. The only good thing I've heard about them is that some of the Insectoids find their flesh very tasty.	'Es tut mir leid für die armen Phobier. Das einzig Gute, was ich über sie gehört habe, ist, dass einige der Insektoiden ihr Fleisch sehr lecker finden.	600		'1049150020:dlc2/Level 2b exit, Phobians.prefab

'Ambusher L1b and 2b Fighterclan pirates, 2 smalls.prefab
'title	'Unknown pirates	'Unbekannte Piraten	35		'2091024948:dlc2/Ambusher L1b and 2b Fighterclan pirates, 2 smalls.prefab
'okButtonText	'Prepare for combat	'Vorbereiten auf den Kampf	7		'2091024948:dlc2/Ambusher L1b and 2b Fighterclan pirates, 2 smalls.prefab; 985480337:dlc2/Ambusher L3b Hunter Crab.prefab; 2075213179:dlc2/Ambusher L5b Slaver Hunters.prefab
'text	'Two smalll ships with unknown design are approaching tactical range, weapons hot.	'Zwei kleine Schiffe mit unbekanntem Design nähern sich in taktischer Reichweite, Waffen scharf.	600		'2091024948:dlc2/Ambusher L1b and 2b Fighterclan pirates, 2 smalls.prefab

'Ambusher L1b Capitaalo 1 and 4 decoy.prefab
'displayName	'Capitaalo fleet	'Capitaalo-Flotte	25		'772814998:dlc2/Ambusher L1b Capitaalo 1 and 4 decoy.prefab; 77851549:dlc2/Ambusher L1b or 2b Phobian pirates x 2.prefab; 219760125:dlc2/Ambusher L1b Capitaalo, 1 plus 2.prefab; 838570141:dlc2/Ambusher L1b Capitaalo, 2x cap 1.prefab; 1419969848:dlc2/Ambusher L1b Capitaalo, 2x cap 2.prefab; 1658456135:dlc2/Ambusher L1b Capitaalo, cap 3 and 1.prefab; 1694282189:dlc2/Ambusher L1b Capitaalo, cap 3.prefab; 1738906811:dlc2/Ambusher L6b Phobian pirates x 3.prefab
'title	'Capitaalo tax officer	'Capitaalo Steuereintreiber	35		'79514273:dlc2/Ambusher L1b Capitaalo 1 and 4 decoy.prefab; 145269416:dlc2/Ambusher L1b Capitaalo, 2x cap 1.prefab; 726669123:dlc2/Ambusher L1b Capitaalo, 2x cap 2.prefab; 965155410:dlc2/Ambusher L1b Capitaalo, cap 3 and 1.prefab; 1000981464:dlc2/Ambusher L1b Capitaalo, cap 3.prefab; 1673943048:dlc2/Ambusher L1b Capitaalo, 1 plus 2.prefab
'text	'Attention, foreign vessel! Because of your presence here, our people are losing trade deals with the Rat empire. Our economy is in chaos! Your only way out of this is to pay for damages. We have a very big warship, by the way. We accept precious metals only.	'"Achtung, fremdes Schiff! Wegen Eurer Anwesenheit hier verliert unser Volk Handelsverträge mit dem Rattenimperium. Unsere Wirtschaft befindet sich im Chaos! Euer einziger Ausweg ist, für den Schaden aufzukommen. Wir haben übrigens ein sehr großes Kriegsschiff. Wir akzeptieren nur Edelmetalle."	400		'79514273:dlc2/Ambusher L1b Capitaalo 1 and 4 decoy.prefab
'choiceText	'Pay 150 metal	'Zahlen Sie [-150 Metalle]	100		'79514273:dlc2/Ambusher L1b Capitaalo 1 and 4 decoy.prefab; 965155410:dlc2/Ambusher L1b Capitaalo, cap 3 and 1.prefab
'choiceText	'It seems the problem is in your economy, not us [prepare for combat].	'Es scheint, dass das Problem in Eurer Wirtschaft liegt, nicht bei uns [bereitet Euch auf den Kampf vor].	100		'79514273:dlc2/Ambusher L1b Capitaalo 1 and 4 decoy.prefab; 145269416:dlc2/Ambusher L1b Capitaalo, 2x cap 1.prefab
'text	'A very large ship, escorted by a smaller one. They seem to be using very primitive technology and are rapidly approaching tactical weapons range.	'Ein sehr großes Schiff, eskortiert von einem kleineren. Sie scheinen eine sehr primitive Technologie zu verwenden und nähern sich schnell der Reichweite taktischer Waffen.	600		'1945523522:dlc2/Ambusher L1b Capitaalo 1 and 4 decoy.prefab
'text2	'Payment accepted. You must pay each of our tax fleets separately.	'Zahlung akzeptiert. Sie müssen jede unserer Steuerflotten einzeln bezahlen.	400		'1267353481:dlc2/Ambusher L1b Capitaalo 1 and 4 decoy.prefab; 5510970:dlc2/Ambusher L1b Capitaalo, cap 3 and 1.prefab; 41337024:dlc2/Ambusher L1b Capitaalo, cap 3.prefab; 714298608:dlc2/Ambusher L1b Capitaalo, 1 plus 2.prefab; 1333108624:dlc2/Ambusher L1b Capitaalo, 2x cap 1.prefab; 1914508331:dlc2/Ambusher L1b Capitaalo, 2x cap 2.prefab
'reasonToDisplay	'Capitaalo fleet paid	'Capitaalo-Flotte bezahlt	30		'dlc2/Ambusher L1b Capitaalo 1 and 4 decoy.prefab; dlc2/Ambusher L1b Capitaalo, 1 plus 2.prefab; dlc2/Ambusher L1b Capitaalo, 2x cap 1.prefab; dlc2/Ambusher L1b Capitaalo, 2x cap 2.prefab; dlc2/Ambusher L1b Capitaalo, cap 3 and 1.prefab; dlc2/Ambusher L1b Capitaalo, cap 3.prefab

'Ambusher L1b Capitaalo, 1 plus 2.prefab
'text	'Haltl! Your presence is destabilizing our financial system. You have already thrown thousands of honest businessmen into extreme poverty and hunger, merely by passing this space! You must immediately pay for these damages in gold or we will be forced to destroy you.	'Haltl! Ihre Anwesenheit destabilisiert unser Finanzsystem. Ihr habt bereits Tausende von ehrlichen Geschäftsleuten in extreme Armut und Hunger gestürzt, nur weil Ihr diesen Raum passiert habt! Ihr müsst sofort für diese Schäden in Gold bezahlen oder wir sind gezwungen, Euch zu vernichten.	400		'1673943048:dlc2/Ambusher L1b Capitaalo, 1 plus 2.prefab
'choiceText	'Pay 120 metal	'Bezahlen Sie [-120 Metalle]	100		'1673943048:dlc2/Ambusher L1b Capitaalo, 1 plus 2.prefab
'choiceText	'It seems the problem is in your financial system, not us [prepare for combat].	'Es scheint, das Problem liegt in Eurem Finanzsystem, nicht bei uns [auf Kampf vorbereiten].	100		'1673943048:dlc2/Ambusher L1b Capitaalo, 1 plus 2.prefab; 1000981464:dlc2/Ambusher L1b Capitaalo, cap 3.prefab
'text	'Two vessels approaching tactical weapons range. They seem to be using very primitive technology.	'Zwei Schiffe nähern sich der taktischen Waffenreichweite. Sie scheinen eine sehr primitive Technologie zu verwenden.	600		'1392468649:dlc2/Ambusher L1b Capitaalo, 1 plus 2.prefab; 445194724:dlc2/Ambusher L1b Capitaalo, 2x cap 2.prefab

'Ambusher L1b Capitaalo, 2x cap 1.prefab
'text	'Alien vessel! By driving here, you are endangering our entire economy and trade with Rats! You must immediately pay for these damages in gold or we will be forced to destroy you.	'Außerirdisches Schiff! Indem Ihr hierher fahrt, gefährdet Ihr unsere gesamte Wirtschaft und den Handel mit den Ratten! Ihr müsst sofort für diese Schäden in Gold bezahlen, oder wir sind gezwungen, Euch zu zerstören.	400		'145269416:dlc2/Ambusher L1b Capitaalo, 2x cap 1.prefab
'choiceText	'Pay 80 metal	'Zahlen Sie [-80 Metalle]	100		'145269416:dlc2/Ambusher L1b Capitaalo, 2x cap 1.prefab; 1000981464:dlc2/Ambusher L1b Capitaalo, cap 3.prefab
'text	'Two small vessels approaching tactical weapons range. They seem to be using very primitive technology.	'Zwei kleine Schiffe nähern sich in taktischer Waffenreichweite. Sie scheinen eine sehr primitive Technologie zu verwenden.	600		'2011278665:dlc2/Ambusher L1b Capitaalo, 2x cap 1.prefab

'Ambusher L1b Capitaalo, 2x cap 2.prefab
'text	'Can you hear me? Is this thing working? Good. The appearance of your ship on our radars have thrown our markets into chaos. People are losing jobs, but you can still avert catastrophy if you send us some precious metals.	'Können Sie mich hören? Funktioniert das Ding? Gut. Das Auftauchen Ihres Schiffes auf unseren Radaren hat unsere Märkte ins Chaos gestürzt. Die Leute verlieren ihre Jobs, aber Sie können die Katastrophe noch abwenden, wenn Sie uns ein paar Edelmetalle schicken.	400		'726669123:dlc2/Ambusher L1b Capitaalo, 2x cap 2.prefab
'choiceText	'Pay 100 metal	'Zahlen Sie [-100 Metalle]	100		'726669123:dlc2/Ambusher L1b Capitaalo, 2x cap 2.prefab
'choiceText	'[prepare for combat]	'[bereiten Sie sich auf den Kampf vor]	100		'726669123:dlc2/Ambusher L1b Capitaalo, 2x cap 2.prefab; 467608435:dlc2/Ambusher L7b Moralors, medium and small.prefab; 965155410:dlc2/Ambusher L1b Capitaalo, cap 3 and 1.prefab; 1148403675:dlc2/Ambusher L6b Phobian pirates x 3.prefab; 1634832061:dlc2/Ambusher L1b or 2b Phobian pirates x 2.prefab; 2122305783:dlc2/Ambusher L9b Moralors, large and small.prefab

'Ambusher L1b Capitaalo, cap 3 and 1.prefab
'text	'You are trespassing our economic space, and your disturbance has caused panic in our stock markets. You must immediately pay for these damages in precious metals or we will be forced to destroy you.	'Sie sind in unseren Wirtschaftsraum eingedrungen, und Ihre Störung hat eine Panik an unseren Börsen verursacht. Sie müssen diese Schäden sofort in Edelmetallen begleichen, sonst sind wir gezwungen, Sie zu vernichten.	400		'965155410:dlc2/Ambusher L1b Capitaalo, cap 3 and 1.prefab
'text	'Two ships approaching tactical weapons range. They seem to be using very primitive technology.	'Zwei Schiffe nähern sich der taktischen Waffenreichweite. Sie scheinen sehr primitive Technologie zu verwenden.	600		'683681011:dlc2/Ambusher L1b Capitaalo, cap 3 and 1.prefab

'Ambusher L1b Capitaalo, cap 3.prefab
'text	'Our capital investments just crashed into sub-prime value range, and it is specifically your fault. If your ship had not stranded to this space, the status quo would have continued. Only gold can solve the problem now. Gold that you give us.	'Unsere Kapitalanlagen sind gerade in den Subprime-Bereich abgestürzt, und das ist speziell Ihre Schuld. Wäre Ihr Schiff nicht in diesem Raum gestrandet, hätte der Status quo weiter bestanden. Nur Gold kann das Problem jetzt lösen. Gold, das Sie uns geben.	400		'1000981464:dlc2/Ambusher L1b Capitaalo, cap 3.prefab
'text	'A single, primitive ship is approaching tactical weapons range.	'Ein einzelnes, primitives Schiff nähert sich der taktischen Waffenreichweite.	600		'719507065:dlc2/Ambusher L1b Capitaalo, cap 3.prefab

'Ambusher L1b or 2b Moralor, 1 small.prefab
'displayName	'Moralor fleet	'Moralischen-Flotte	25		'1548128086:dlc2/Ambusher L1b or 2b Moralor, 1 small.prefab; 911075884:dlc2/Ambusher L4b and chance for 5b Moralor testers, smalls.prefab; 1425664520:dlc2/Ambusher L6b, chance for 7b Moralor redeemer 1 large.prefab; 1530996966:dlc2/Ambusher L9b Moralors, large and small.prefab; 1872518802:dlc2/Ambusher L5b and chance for 4b Moralor redeemer 1 medium.prefab; 2023783266:dlc2/Ambusher L7b Moralors, medium and small.prefab
'text	'A single advanced ships approaching, armed with two heavy energy weapons.	'Ein einzelnes, fortgeschrittenes Schiff nähert sich, bewaffnet mit zwei schweren Energiewaffen.	600		'976637489:dlc2/Ambusher L1b or 2b Moralor, 1 small.prefab
'title	'Moralor Tester	'Moralisch Tester	35		'1671800066:dlc2/Ambusher L1b or 2b Moralor, 1 small.prefab
'text	'We are the Moralors, the final guardians assuring this universe remains profoundly ethical. We do this by seeking out evil and destroying it. To test your morality, we have a simple test for you: should species with tentacles sleep so that their tentacles are on the left? Or on the right?	'Wir sind die Moralischen, die letzten Wächter, die sicherstellen, dass dieses Universum zutiefst ethisch bleibt. Wir tun dies, indem wir das Böse aufspüren und es zerstören. Um Ihre Moral zu testen, haben wir einen einfachen Test für Sie: Sollten Spezies mit Tentakeln so schlafen, dass ihre Tentakel auf der linken Seite sind? Oder auf der rechten Seite?	400		'1671800066:dlc2/Ambusher L1b or 2b Moralor, 1 small.prefab
'choiceText	'Tentacles should be on the right.	'Tentakel sollten auf der rechten Seite sein.	100		'1671800066:dlc2/Ambusher L1b or 2b Moralor, 1 small.prefab; 1034747864:dlc2/Ambusher L4b and chance for 5b Moralor testers, smalls.prefab
'choiceText	'Tentacles on the left, of course.	'Tentakel auf der linken Seite, natürlich.	100		'1671800066:dlc2/Ambusher L1b or 2b Moralor, 1 small.prefab; 1034747864:dlc2/Ambusher L4b and chance for 5b Moralor testers, smalls.prefab
